广东频道,#genre#
CCTV-1,http://27.10.9.145:8002/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://27.10.75.98:8007/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://218.68.55.35:8888/rtp/225.1.1.120:5002$1920x1080
CCTV-1,http://60.26.62.168:8000/rtp/225.1.1.120:5002$1920x1080
CCTV-2,http://171.125.90.130:6000/rtp/226.0.2.154:9144$1920x1080
CCTV-2,http://111.165.213.195:8000/rtp/225.1.1.133:5002$1920x1080
CCTV-2,http://60.186.200.183:8888/rtp/233.50.201.119:5140$1920x1080
CCTV-2,http://60.7.56.33:4000/rtp/239.253.92.190:6065$1920x1080
CCTV-2,http://27.10.215.110:8005/rtp/225.0.4.132:7980$1920x1080
CCTV-2,http://118.79.7.119:6001/rtp/226.0.2.19:8064$720x576
CCTV-2,http://60.186.200.183:8888/rtp/233.50.201.2:5140$720x576
CCTV-2,http://171.116.226.246:8085/rtp/226.0.2.19:8064$720x576
CCTV-2,http://171.116.226.246:8084/rtp/226.0.2.19:8064$720x576
CCTV-2,http://180.124.225.131:3000/rtp/239.49.8.130:6000
CCTV-2,http://180.124.225.131:3000/rtp/239.49.1.2:6000
CCTV-2,http://115.150.15.242:5566/rtp/239.252.220.183:5140
CCTV-2,http://118.183.212.29:6868/rtp/239.255.30.179:8231
CCTV-2,http://171.116.151.33:8084/rtp/226.0.2.154:9144
CCTV-2,http://171.116.151.33:8084/rtp/226.0.2.19:8064
CCTV-3,http://171.125.90.130:6000/rtp/226.0.2.208:9576$1920x1080
CCTV-3,http://171.116.226.246:8085/rtp/226.0.2.208:9576$1920x1080
CCTV-3,http://61.188.254.218:9527/rtp/239.93.1.11:2223$1920x1080
CCTV-3,http://27.10.215.110:8005/rtp/225.0.4.142:7980$1920x1080
CCTV-3,http://171.125.90.130:6000/rtp/226.0.2.20:8072$720x576
CCTV-3,http://171.116.226.246:8085/rtp/226.0.2.20:8072$720x576
CCTV-3,http://60.186.200.183:8888/rtp/233.50.201.16:5140$720x576
CCTV-3,http://171.116.226.246:8084/rtp/226.0.2.20:8072$720x576
CCTV-3,http://180.124.225.131:3000/rtp/239.49.9.31:6000
CCTV-3,http://180.124.225.131:3000/rtp/239.49.1.3:6000
CCTV-3,http://115.150.15.242:5566/rtp/239.252.220.193:5140
CCTV-3,http://118.183.212.29:6868/rtp/239.255.29.12:8231
CCTV-3,http://171.116.151.33:8084/rtp/226.0.2.208:9576
CCTV-3,http://171.116.151.33:8084/rtp/226.0.2.20:8072
CCTV-3,http://118.79.7.119:6001/rtp/226.0.2.208:9576
CCTV-4,http://101.27.106.176:8888/rtp/239.253.93.192:6370$1920x1080
CCTV-4,http://171.116.226.246:8084/rtp/226.0.2.156:9160$1920x1080
CCTV-4,http://xeace.cn:8888/rtp/239.93.1.105:5140$1920x1080
CCTV-4,http://60.186.200.183:8888/rtp/233.50.200.101:5140$1920x1080
CCTV-4,http://60.186.200.183:8888/rtp/233.50.201.4:5140$720x576
CCTV-4,http://171.125.90.130:6000/rtp/226.0.2.21:8080$720x576
CCTV-4,http://180.124.225.131:3000/rtp/239.49.8.131:6000
CCTV-4,http://180.124.225.131:3000/rtp/239.49.1.4:6000
CCTV-4,http://115.150.15.242:5566/rtp/239.252.220.184:5140
CCTV-4,http://115.150.15.242:5566/rtp/239.252.219.192:5140
CCTV-4,http://118.183.212.29:6868/rtp/239.255.30.83:8231
CCTV-4,http://171.116.151.33:8084/rtp/226.0.2.156:9160
CCTV-4,http://171.116.151.33:8084/rtp/226.0.2.21:8080
CCTV-4,http://118.79.7.119:6001/rtp/226.0.2.156:9160
CCTV-4,http://118.79.7.119:6001/rtp/226.0.2.21:8080
CCTV-5,http://171.125.90.130:6000/rtp/226.0.2.209:9584$1920x1080
CCTV-5,http://171.116.226.246:8085/rtp/226.0.2.209:9584$1920x1080
CCTV-5,http://111.165.213.195:8000/rtp/225.1.1.160:5002$1920x1080
CCTV-5,http://27.10.215.110:8005/rtp/225.0.4.143:7980$1920x1080
CCTV-5,http://60.186.200.183:8888/rtp/233.50.201.17:5140$720x576
CCTV-5,http://171.116.226.246:8085/rtp/226.0.2.22:8088$720x576
CCTV-5,http://171.125.90.130:6000/rtp/226.0.2.22:8088$720x576
CCTV-5,http://171.116.226.246:8084/rtp/226.0.2.22:8088$720x576
CCTV-5,http://180.124.225.131:3000/rtp/239.49.9.32:6000
CCTV-5,http://180.124.225.131:3000/rtp/239.49.1.5:6000
CCTV-5,http://115.150.15.242:5566/rtp/239.252.219.236:5140
CCTV-5,http://118.183.212.29:6868/rtp/239.255.29.13:8231
CCTV-5,http://171.116.151.33:8084/rtp/226.0.2.209:9584
CCTV-5,http://171.116.151.33:8084/rtp/226.0.2.22:8088
CCTV-5,http://118.79.7.119:6001/rtp/226.0.2.209:9584
CCTV-5+,http://114.243.96.249:8888/rtp/239.3.1.130:8004$1920x1080
CCTV-5+,http://118.81.35.18:8002/rtp/226.0.2.168:9256$1920x1080
CCTV-5+,http://118.81.35.18:8005/rtp/226.0.2.168:9256$1920x1080
CCTV-5+,http://180.124.225.131:3000/rtp/239.49.8.137:6000
CCTV-5+,http://115.150.15.242:5566/rtp/239.252.219.72:5140
CCTV-5+,http://118.183.212.29:6868/rtp/239.255.30.184:8231
CCTV-5+,http://171.116.151.33:8084/rtp/226.0.2.168:9256
CCTV-5+,http://118.79.7.119:6001/rtp/226.0.2.168:9256
CCTV-5+,http://171.116.226.246:8085/rtp/226.0.2.168:9256
