Name: 广东体育, URL: http://113.110.220.255:8888/rtp/239.77.1.97:5146$720x576, Date: None, Resolution: 720x576, Response Time: 121 ms
Name: 广东体育, URL: http://113.119.195.184:9999/rtp/239.77.1.97:5146$720x576, Date: None, Resolution: 720x576, Response Time: 145 ms
Name: 广东体育, URL: http://116.28.124.174:8520/rtp/239.77.1.97:5146$720x576, Date: None, Resolution: 720x576, Response Time: 373 ms
Name: 广东体育, URL: http://113.110.220.255:8888/rtp/239.77.0.168:5146, Date: 2024-10-05, Resolution: None, Response Time: 113 ms
Name: 广东体育, URL: http://113.110.220.255:8888/rtp/239.77.1.97:5146, Date: 2024-10-05, Resolution: None, Response Time: 113 ms
Name: 广东体育, URL: http://14.154.189.185:4022/rtp/239.77.1.97:5146, Date: 2024-10-05, Resolution: None, Response Time: 141 ms
Name: 广东体育, URL: http://116.28.124.174:8520/rtp/239.77.0.168:5146, Date: 2024-10-03, Resolution: None, Response Time: 281 ms
Name: 广东体育, URL: http://116.28.124.174:8520/rtp/239.77.1.97:5146, Date: 2024-10-03, Resolution: None, Response Time: 281 ms
Name: 广东体育, URL: http://113.119.195.184:9999/rtp/239.77.1.97:5146, Date: 2024-10-03, Resolution: None, Response Time: 342 ms
Name: 广东体育, URL: http://125.93.74.27:9002/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 455 ms
Name: 广东体育, URL: http://202.168.187.208:9898/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 474 ms
Name: 广东体育, URL: http://119.129.172.164:9999/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 2013 ms
Name: 广东体育, URL: http://219.137.203.224:9999/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 2044 ms
Name: 广东体育, URL: http://119.129.172.119:9999/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 2059 ms
Name: 广东体育, URL: http://183.237.246.14:32/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 2315 ms
Name: 广东珠江, URL: http://14.154.189.185:4022/rtp/239.77.0.1:5146$1920x1080, Date: 2024-10-05, Resolution: 1920x1080, Response Time: 57 ms
Name: 广东珠江, URL: http://116.28.124.174:8520/rtp/239.77.0.114:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 94 ms
Name: 广东珠江, URL: http://113.110.220.255:8888/rtp/239.77.0.1:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 124 ms
Name: 广东珠江, URL: http://113.119.195.184:9999/rtp/239.77.0.114:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 149 ms
Name: 广东珠江, URL: http://113.110.220.255:8888/rtp/239.77.0.1:5146$1920x1080, Date: 2024-10-05, Resolution: 1920x1080, Response Time: 156 ms
Name: 广东珠江, URL: http://113.119.195.184:9999/rtp/239.77.0.1:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 165 ms
Name: 广东珠江, URL: http://14.154.189.185:4022/rtp/239.77.0.1:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 170 ms
Name: 广东珠江, URL: http://116.28.124.174:8520/rtp/239.77.0.1:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 281 ms
Name: 广东珠江, URL: http://113.119.195.184:9999/rtp/239.77.0.1:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 293 ms
Name: 广东珠江, URL: http://116.28.124.174:8520/rtp/239.77.0.1:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 301 ms
Name: 广东珠江, URL: http://113.119.195.184:9999/rtp/239.77.1.94:5146$720x576, Date: None, Resolution: 720x576, Response Time: 224 ms
Name: 广东珠江, URL: http://113.110.220.255:8888/rtp/239.77.0.114:5146, Date: 2024-10-05, Resolution: None, Response Time: 113 ms
Name: 广东珠江, URL: http://113.110.220.255:8888/rtp/239.77.1.94:5146, Date: 2024-10-05, Resolution: None, Response Time: 113 ms
Name: 广东珠江, URL: http://14.154.189.185:4022/rtp/239.77.0.114:5146, Date: 2024-10-05, Resolution: None, Response Time: 141 ms
Name: 广东珠江, URL: http://14.154.189.185:4022/rtp/239.77.1.94:5146, Date: 2024-10-05, Resolution: None, Response Time: 141 ms
Name: 广东珠江, URL: http://116.28.124.174:8520/rtp/239.77.0.114:5146, Date: 2024-10-03, Resolution: None, Response Time: 281 ms
Name: 广东珠江, URL: http://116.28.124.174:8520/rtp/239.77.1.94:5146, Date: 2024-10-03, Resolution: None, Response Time: 281 ms
Name: 广东珠江, URL: http://113.119.195.184:9999/rtp/239.77.0.114:5146, Date: 2024-10-03, Resolution: None, Response Time: 342 ms
Name: 广东珠江, URL: http://113.119.195.184:9999/rtp/239.77.1.94:5146, Date: 2024-10-03, Resolution: None, Response Time: 342 ms
Name: 广东珠江, URL: http://202.168.187.208:9898/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 470 ms
Name: 广东珠江, URL: http://183.237.246.14:32/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 806 ms
Name: 广东珠江, URL: http://119.129.172.164:9999/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 2014 ms
Name: 广东珠江, URL: http://219.137.203.224:9999/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 2015 ms
Name: 广东珠江, URL: http://119.129.172.119:9999/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 2025 ms
Name: 江门综合, URL: http://14.154.189.185:4022/rtp/239.77.0.201:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 124 ms
Name: 江门综合, URL: http://113.110.220.255:8888/rtp/239.77.0.201:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 132 ms
Name: 江门综合, URL: http://116.28.124.174:8520/rtp/239.77.0.201:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 286 ms
Name: 江门综合, URL: http://116.28.124.174:8520/rtp/239.77.0.201:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 301 ms
Name: 江门综合, URL: http://113.119.195.184:9999/rtp/239.77.0.201:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 315 ms
Name: 江门综合, URL: http://113.119.195.184:9999/rtp/239.77.0.201:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 329 ms
Name: 江门综合, URL: http://113.110.220.255:8888/rtp/239.77.0.195:5146, Date: 2024-10-05, Resolution: None, Response Time: 113 ms
Name: 江门综合, URL: http://113.110.220.255:8888/rtp/239.77.0.201:5146, Date: 2024-10-05, Resolution: None, Response Time: 113 ms
Name: 江门综合, URL: http://14.154.189.185:4022/rtp/239.77.0.195:5146, Date: 2024-10-05, Resolution: None, Response Time: 141 ms
Name: 江门综合, URL: http://14.154.189.185:4022/rtp/239.77.0.201:5146, Date: 2024-10-05, Resolution: None, Response Time: 141 ms
Name: 江门综合, URL: http://116.28.124.174:8520/rtp/239.77.0.195:5146, Date: 2024-10-03, Resolution: None, Response Time: 281 ms
Name: 江门综合, URL: http://116.28.124.174:8520/rtp/239.77.0.201:5146, Date: 2024-10-03, Resolution: None, Response Time: 281 ms
Name: 江门综合, URL: http://113.119.195.184:9999/rtp/239.77.0.195:5146, Date: 2024-10-03, Resolution: None, Response Time: 342 ms
Name: 江门综合, URL: http://113.119.195.184:9999/rtp/239.77.0.201:5146, Date: 2024-10-03, Resolution: None, Response Time: 342 ms
Name: 大湾区卫视, URL: http://113.119.195.184:9999/rtp/239.77.0.215:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 216 ms
Name: 大湾区卫视, URL: http://14.154.189.185:4022/rtp/239.77.0.215:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 221 ms
Name: 大湾区卫视, URL: http://113.119.195.184:9999/rtp/239.77.0.215:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 242 ms
Name: 大湾区卫视, URL: http://116.28.124.174:8520/rtp/239.77.0.215:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 272 ms
Name: 大湾区卫视, URL: http://116.28.124.174:8520/rtp/239.77.0.215:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 290 ms
Name: 大湾区卫视, URL: http://116.28.124.202:8520/rtp/239.77.1.12:5146$720x576, Date: None, Resolution: 720x576, Response Time: 82 ms
Name: 大湾区卫视, URL: http://113.119.195.184:9999/rtp/239.77.1.12:5146$720x576, Date: None, Resolution: 720x576, Response Time: 228 ms
Name: 大湾区卫视, URL: http://113.119.195.184:9999/rtp/239.77.1.12:5146$720x576, Date: None, Resolution: 720x576, Response Time: 251 ms
Name: 大湾区卫视, URL: http://116.28.124.174:8520/rtp/239.77.1.12:5146$720x576, Date: None, Resolution: 720x576, Response Time: 375 ms
Name: 大湾区卫视, URL: http://116.28.124.174:8520/rtp/239.77.1.12:5146$720x576, Date: None, Resolution: 720x576, Response Time: 375 ms
Name: 大湾区卫视, URL: http://113.110.220.255:8888/rtp/239.77.0.215:5146, Date: 2024-10-05, Resolution: None, Response Time: 113 ms
Name: 大湾区卫视, URL: http://113.110.220.255:8888/rtp/239.77.1.12:5146, Date: 2024-10-05, Resolution: None, Response Time: 113 ms
Name: 大湾区卫视, URL: http://14.154.189.185:4022/rtp/239.77.0.215:5146, Date: 2024-10-05, Resolution: None, Response Time: 141 ms
Name: 大湾区卫视, URL: http://14.154.189.185:4022/rtp/239.77.1.12:5146, Date: 2024-10-05, Resolution: None, Response Time: 141 ms
