广东频道,#genre#
佛山综合,http://14.117.236.30:9000/rtp/239.253.43.57:5146$1920x1080
佛山综合,http://125.89.163.44:8888/rtp/239.253.43.57:5146$1920x1080
佛山综合,http://14.149.140.8:6000/rtp/239.253.43.52:5146
佛山综合,http://14.149.140.8:6000/rtp/239.253.43.57:5146
佛山综合,http://113.93.54.251:5555/rtp/239.253.43.52:5146
佛山综合,http://113.93.54.251:5555/rtp/239.253.43.57:5146
佛山公共,http://14.117.236.30:9000/rtp/239.253.43.53:5146$1920x1080
佛山公共,http://14.149.140.8:6000/rtp/239.253.43.48:5146
佛山公共,http://14.149.140.8:6000/rtp/239.253.43.53:5146
佛山公共,http://113.93.54.251:5555/rtp/239.253.43.48:5146
佛山公共,http://113.93.54.251:5555/rtp/239.253.43.53:5146
佛山影视,http://14.117.236.30:9000/rtp/239.253.43.56:5146$1920x1080
佛山影视,http://14.149.140.8:6000/rtp/239.253.43.51:5146
佛山影视,http://14.149.140.8:6000/rtp/239.253.43.56:5146
佛山影视,http://113.93.54.251:5555/rtp/239.253.43.51:5146
佛山影视,http://113.93.54.251:5555/rtp/239.253.43.56:5146
深圳卫视,http://183.185.222.245:8085/rtp/226.0.2.147:9088$1920x1080
深圳卫视,http://183.185.41.49:8085/rtp/226.0.2.147:9088$1920x1080
深圳卫视,http://171.120.84.142:8001/rtp/226.0.2.147:9088$1920x1080
深圳卫视,http://123.145.64.95:55555/rtp/225.0.4.202:7980$1920x1080
深圳卫视,http://183.185.41.49:8083/rtp/226.0.2.147:9088$1920x1080
深圳卫视,http://211.158.155.182:8008/rtp/225.0.4.202:7980$1920x1080
深圳卫视,http://60.26.3.215:7000/rtp/225.1.1.117:5002$1920x1080
深圳卫视,http://183.191.208.95:8085/rtp/226.0.2.147:9088$1920x1080
深圳卫视,http://60.7.56.33:4000/rtp/239.253.92.86:8017$1920x1080
深圳卫视,http://211.158.152.88:8009/rtp/225.0.4.202:7980$1920x1080
深圳卫视,http://183.185.222.245:8084/rtp/226.0.2.147:9088$1920x1080
深圳卫视,http://171.213.222.101:4000/rtp/239.93.0.182:5140$1920x1080
深圳卫视,http://113.233.11.142:9000/rtp/232.0.0.110:1234$1920x1080
深圳卫视,http://27.184.28.60:4022/rtp/239.254.200.50:8020$1920x1080
深圳卫视,http://123.123.167.240:8000/rtp/239.3.1.134:8020$1920x1080
央视频道,#genre#
CCTV-1,http://118.81.48.104:8083/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://171.117.245.185:8084/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://60.26.3.215:7000/rtp/225.1.1.120:5002$1920x1080
CCTV-1,http://111.165.222.109:8000/rtp/225.1.1.120:5002$1920x1080
CCTV-1,http://60.10.225.157:555/rtp/239.253.92.83:8012$1920x1080
CCTV-1,http://211.158.152.88:8009/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://118.81.197.116:8085/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://60.4.3.77:8888/rtp/239.253.92.83:8012$1920x1080
CCTV-1,http://183.185.222.245:8084/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://171.120.84.142:8001/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://220.192.2.245:8008/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://36.49.50.124:8800/rtp/239.37.0.254:5540$1920x1080
CCTV-1,http://171.120.20.181:8004/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://123.113.181.108:9000/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://183.185.41.49:8083/rtp/226.0.2.153:9136$1920x1080
CCTV-2,http://sweetown.fun:4000/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://113.233.11.142:9000/rtp/232.0.0.135:1234$1920x1080
CCTV-2,http://220.192.2.245:8008/rtp/225.0.4.132:7980$1920x1080
CCTV-2,http://114.243.104.92:8888/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://111.162.167.200:8686/rtp/225.1.1.133:5002$1920x1080
CCTV-2,http://60.178.151.155:4022/rtp/233.50.201.119:5140$1920x1080
CCTV-2,http://114.240.43.183:8888/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://60.168.231.251:2000/rtp/238.1.78.235:7752$1920x1080
CCTV-2,http://119.98.175.25:85/rtp/239.69.1.102:10250$1920x1080
CCTV-2,http://183.184.181.5:8085/rtp/226.0.2.154:9144$1920x1080
CCTV-2,http://124.64.189.63:8888/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://171.105.179.67:4022/rtp/239.81.0.14:4056$720x576
CCTV-2,http://171.120.20.181:8004/rtp/226.0.2.19:8064$720x576
CCTV-2,http://183.151.61.152:4022/rtp/233.50.201.2:5140$720x576
CCTV-2,http://183.184.181.5:8085/rtp/226.0.2.19:8064$720x576
CCTV-3,http://220.192.2.245:8008/rtp/225.0.4.142:7980$1920x1080
CCTV-3,http://sweetown.fun:4000/rtp/239.3.1.172:8001$1920x1080
CCTV-3,http://113.233.11.142:9000/rtp/232.0.0.170:1234$1920x1080
CCTV-3,http://111.165.222.109:8000/rtp/225.1.1.158:5002$1920x1080
CCTV-3,http://183.184.181.5:8085/rtp/226.0.2.208:9576$1920x1080
CCTV-3,http://111.162.167.200:8686/rtp/225.1.1.158:5002$1920x1080
CCTV-3,http://60.168.231.251:2000/rtp/238.1.78.170:7232$1920x1080
CCTV-3,http://124.64.189.63:8888/rtp/239.3.1.172:8001$1920x1080
CCTV-3,http://119.98.175.25:85/rtp/239.69.1.122:10370$1920x1080
CCTV-3,http://114.243.104.92:8888/rtp/239.3.1.172:8001$1920x1080
CCTV-3,http://183.151.61.152:4022/rtp/233.50.201.196:5140$1920x1080
CCTV-3,http://60.178.151.155:4022/rtp/233.50.201.196:5140$1920x1080
CCTV-3,http://60.178.151.155:4022/rtp/233.50.201.16:5140$720x576
CCTV-3,http://183.151.61.152:4022/rtp/233.50.201.16:5140$720x576
CCTV-3,http://183.184.181.5:8085/rtp/226.0.2.20:8072$720x576
CCTV-4,http://sweetown.fun:4000/rtp/239.3.1.105:8092$1920x1080
CCTV-4,http://113.233.11.142:9000/rtp/232.0.0.201:1234$1920x1080
CCTV-4,http://113.233.11.142:9000/rtp/232.0.0.53:1234$1920x1080
CCTV-4,http://sweetown.fun:4000/rtp/239.3.1.213:4220$1920x1080
CCTV-4,http://220.192.2.245:8008/rtp/225.0.4.176:7980$1920x1080
CCTV-4,http://119.98.175.25:85/rtp/239.69.1.138:10466$1920x1080
CCTV-4,http://183.184.181.5:8085/rtp/226.0.2.156:9160$1920x1080
CCTV-4,http://60.168.231.251:2000/rtp/238.1.78.236:7760$1920x1080
CCTV-4,http://171.120.20.181:8004/rtp/226.0.2.156:9160$1920x1080
CCTV-4,http://124.64.189.63:8888/rtp/239.3.1.213:4220$1920x1080
CCTV-4,http://124.64.189.63:8888/rtp/239.3.1.105:8092$1920x1080
CCTV-4,http://183.151.61.152:4022/rtp/233.50.200.101:5140$1920x1080
CCTV-4,http://60.178.151.155:4022/rtp/233.50.200.101:5140$1920x1080
CCTV-4,http://171.105.179.67:4022/rtp/239.81.0.16:4056$720x576
CCTV-4,http://171.120.20.181:8004/rtp/226.0.2.21:8080$720x576
CCTV-5,http://171.105.179.67:4022/rtp/239.81.0.232:4056$1920x1080
CCTV-5,http://183.184.181.5:8085/rtp/226.0.2.209:9584$1920x1080
CCTV-5,http://171.120.20.181:8004/rtp/226.0.2.209:9584$1920x1080
CCTV-5,http://114.243.104.92:8888/rtp/239.3.1.173:8001$1920x1080
CCTV-5,http://220.192.2.245:8008/rtp/225.0.4.143:7980$1920x1080
CCTV-5,http://113.233.11.142:9000/rtp/232.0.0.171:1234$1920x1080
CCTV-5,http://119.98.175.25:85/rtp/239.69.1.123:10376$1920x1080
CCTV-5,http://60.178.151.155:4022/rtp/233.50.201.197:5140$1920x1080
CCTV-5,http://60.168.231.251:2000/rtp/238.1.78.171:7240$1920x1080
CCTV-5,http://27.184.28.60:4022/rtp/239.254.200.14:6000$720x576
CCTV-5,http://171.120.20.181:8004/rtp/226.0.2.22:8088$720x576
CCTV-5,http://60.178.151.155:4022/rtp/233.50.201.17:5140$720x576
CCTV-5,http://183.184.181.5:8085/rtp/226.0.2.22:8088$720x576
CCTV-5,http://118.81.48.104:8083/rtp/226.0.2.209:9584
CCTV-5,http://183.185.222.245:8085/rtp/226.0.2.209:9584
CCTV-5+,http://171.105.179.67:4022/rtp/239.81.0.101:4056$1920x1080
CCTV-5+,http://sweetown.fun:4000/rtp/239.3.1.130:8004$1920x1080
CCTV-5+,http://113.233.11.142:9000/rtp/232.0.0.93:1234$1920x1080
CCTV-5+,http://171.117.245.185:8084/rtp/226.0.2.168:9256$1920x1080
CCTV-5+,http://117.32.85.224:8014/rtp/239.111.205.13:5140$1920x1080
CCTV-5+,http://220.192.2.245:8008/rtp/225.0.4.73:7980$1920x1080
CCTV-5+,http://114.243.104.92:8888/rtp/239.3.1.130:8004$1920x1080
CCTV-5+,http://183.151.61.152:4022/rtp/233.50.201.220:5140$1920x1080
CCTV-5+,http://118.81.197.116:8085/rtp/226.0.2.168:9256$1920x1080
CCTV-5+,http://60.178.151.155:4022/rtp/233.50.201.220:5140$1920x1080
CCTV-5+,http://183.184.181.5:8085/rtp/226.0.2.168:9256$1920x1080
CCTV-5+,http://124.64.189.63:8888/rtp/239.3.1.130:8004$1920x1080
CCTV-5+,http://119.98.175.25:85/rtp/239.69.1.12:9712$1920x1080
CCTV-5+,http://60.168.231.251:2000/rtp/238.1.78.237:7768$1920x1080
CCTV-5+,http://118.81.48.104:8083/rtp/226.0.2.168:9256
CCTV-6,http://220.192.2.245:8008/rtp/225.0.4.144:7980$1920x1080
CCTV-6,http://171.105.179.67:4022/rtp/239.81.0.233:4056$1920x1080
CCTV-6,http://113.233.11.142:9000/rtp/232.0.0.172:1234$1920x1080
CCTV-6,http://119.98.175.25:85/rtp/239.69.1.124:10382$1920x1080
CCTV-6,http://111.162.167.200:8686/rtp/225.1.1.195:5002$1920x1080
CCTV-6,http://114.243.104.92:8888/rtp/239.3.1.174:8001$1920x1080
CCTV-6,http://183.184.181.5:8085/rtp/226.0.2.210:9592$1920x1080
CCTV-6,http://124.64.189.63:8888/rtp/239.3.1.174:8001$1920x1080
CCTV-6,http://60.168.231.251:2000/rtp/238.1.78.172:7248$1920x1080
CCTV-6,http://60.178.151.155:4022/rtp/233.50.201.198:5140$1920x1080
CCTV-6,http://171.117.245.185:8085/rtp/226.0.2.23:8096$720x576
CCTV-6,http://60.178.151.155:4022/rtp/233.50.201.18:5140$720x576
CCTV-6,http://183.184.181.5:8085/rtp/226.0.2.23:8096$720x576
CCTV-6,http://118.81.48.104:8083/rtp/226.0.2.210:9592
CCTV-6,http://183.185.222.245:8085/rtp/226.0.2.210:9592
CCTV-7,http://sweetown.fun:4000/rtp/239.3.1.61:8104$1920x1080
CCTV-7,http://220.192.2.245:8008/rtp/225.0.4.127:7980$1920x1080
CCTV-7,http://114.243.104.92:8888/rtp/239.3.1.61:8104$1920x1080
CCTV-7,http://111.162.167.200:8686/rtp/225.1.1.138:5002$1920x1080
CCTV-7,http://113.233.11.142:9000/rtp/232.0.0.136:1234$1920x1080
CCTV-7,http://60.168.231.251:2000/rtp/238.1.78.239:7784$1920x1080
CCTV-7,http://124.64.189.63:8888/rtp/239.3.1.61:8104$1920x1080
CCTV-7,http://60.178.151.155:4022/rtp/233.50.201.120:5140$1920x1080
CCTV-7,http://183.151.61.152:4022/rtp/233.50.201.120:5140$1920x1080
CCTV-7,http://60.178.151.155:4022/rtp/233.50.201.7:5140$720x576
CCTV-7,http://183.184.181.5:8085/rtp/226.0.2.24:8104$720x576
CCTV-7,http://171.105.179.67:4022/rtp/239.81.0.19:4056$720x576
CCTV-7,http://118.81.48.104:8083/rtp/226.0.2.24:8104$720x576
CCTV-7,http://118.81.48.104:8083/rtp/226.0.2.159:9184
CCTV-7,http://183.185.222.245:8085/rtp/226.0.2.159:9184
CCTV-8,http://sweetown.fun:4000/rtp/239.3.1.175:8001$1920x1080
CCTV-8,http://171.105.179.67:4022/rtp/239.81.0.234:4056$1920x1080
CCTV-8,http://113.233.11.142:9000/rtp/232.0.0.173:1234$1920x1080
CCTV-8,http://220.192.2.245:8008/rtp/225.0.4.137:7980$1920x1080
CCTV-8,http://119.98.175.25:85/rtp/239.69.1.125:10388$1920x1080
CCTV-8,http://183.151.61.152:4022/rtp/233.50.201.199:5140$1920x1080
CCTV-8,http://111.162.167.200:8686/rtp/225.1.1.196:5002$1920x1080
CCTV-8,http://183.184.181.5:8085/rtp/226.0.2.211:9600$1920x1080
CCTV-8,http://60.168.231.251:2000/rtp/238.1.78.173:7256$1920x1080
CCTV-8,http://114.243.104.92:8888/rtp/239.3.1.175:8001$1920x1080
CCTV-8,http://124.64.189.63:8888/rtp/239.3.1.175:8001$1920x1080
CCTV-8,http://60.178.151.155:4022/rtp/233.50.201.199:5140$1920x1080
CCTV-8,http://183.184.181.5:8085/rtp/226.0.2.25:8112$720x576
CCTV-8,http://60.178.151.155:4022/rtp/233.50.201.19:5140$720x576
CCTV-8,http://118.81.48.104:8085/rtp/226.0.2.25:8112$720x576
CCTV-9,http://111.165.222.109:8000/rtp/225.1.1.119:5002$1920x1080
CCTV-9,http://220.192.2.245:8008/rtp/225.0.4.131:7980$1920x1080
CCTV-9,http://124.64.189.63:8888/rtp/239.3.1.62:8112$1920x1080
CCTV-9,http://113.233.11.142:9000/rtp/232.0.0.137:1234$1920x1080
CCTV-9,http://111.162.167.200:8686/rtp/225.1.1.119:5002$1920x1080
CCTV-9,http://114.243.104.92:8888/rtp/239.3.1.62:8112$1920x1080
